Batch Name,Total Tickets,Total Help Tickets,Help - Open,Help - Resolved,Help - Reopened,Help - Closed,Total Support Tickets,Support - Open,Support - Resolved,Support - Reopened,Support - Closed,Number of Users in Batch,Number of Active Users in Batch,Unique Users - Help,Unique Users - Support,Unique Users - Both Help & Support
IITP-AIMLT-2601,537,20,0,20,0,0,517,1,499,0,17,1373,1362,16,318,10
IITP-AIMLT-2603,296,9,0,9,0,0,287,0,270,0,17,1654,1011,9,202,2
IITP-AIMLTN-2602,355,12,0,12,0,0,343,0,320,0,23,647,641,9,173,5
IITP-AIMLTN-2605,5,0,0,0,0,0,5,0,3,0,2,871,562,0,5,0
IITP-DA-2601,20,0,0,0,0,0,20,0,17,0,3,94,94,0,11,0
IITP-DA-2604,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
IITP-GAI-2507,4,0,0,0,0,0,4,0,4,0,0,39,35,0,4,0
IITP-PM-2507,156,84,0,78,0,6,72,0,69,0,3,679,576,66,46,10
IITP-PM-2510,39,3,0,3,0,0,36,0,33,0,3,268,227,3,25,0
IITP-PM-2512,24,1,0,1,0,0,23,0,22,0,1,93,88,1,17,0
IITP-SDAI-2602,148,10,0,10,0,0,138,0,131,0,7,669,343,8,104,2
IITP-SDAI-2606,0,0,0,0,0,0,0,0,0,0,0,30,21,0,0,0
IITP-SDAIENG-2602,30,1,0,1,0,0,29,0,27,0,2,79,78,1,18,0
IITP-SDAIHIN-2602,39,1,0,1,0,0,38,0,34,0,4,220,143,1,24,1
IITP-SDAIHIN-2606,5,1,0,1,0,0,4,0,4,0,0,24,17,1,2,1
IITP-SDAIMAR-2603,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
IITP-SDAITAM-2602,28,4,0,4,0,0,24,0,20,0,4,121,63,3,17,2
IITP-SDAITEL-2602,2,0,0,0,0,0,2,0,2,0,0,8,5,0,2,0
IITPDS-2504,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
IITPPM-2504,85,4,0,4,0,0,81,0,73,0,8,878,692,4,67,1
IITR-AIMLD-2511,30,1,0,1,0,0,29,0,25,0,4,212,207,1,20,1
IITR-AS-2601,82,5,0,5,0,0,77,0,73,0,4,297,115,5,54,1
IITR-AS-260113,43,1,0,1,0,0,42,0,39,0,3,184,181,1,31,0
IITR-AS-2603,16,1,0,1,0,0,15,0,14,0,1,103,56,1,13,0
IITR-AS-260313,22,0,0,0,0,0,22,0,22,0,0,213,59,0,18,0
IITR-CYB-2510,21,1,0,1,0,0,20,0,19,0,1,70,68,1,10,0
IITR-PM-2510,62,0,0,0,0,0,62,0,55,0,7,482,467,0,39,0
IITR-PM-2512,93,1,0,1,0,0,92,0,80,0,12,479,440,1,61,0
IITR-PM-2603,13,0,0,0,0,0,13,0,10,0,3,268,70,0,10,0
IITR-PMH-2512,5,0,0,0,0,0,5,0,4,0,1,30,30,0,5,0
IITR-SE-2509,35,2,0,2,0,0,33,0,25,0,8,396,377,2,22,0
IITREICT-AIML-2604,0,0,0,0,0,0,0,0,0,0,0,205,64,0,0,0
IITREICT-DA-2604,0,0,0,0,0,0,0,0,0,0,0,68,26,0,0,0
IITREICT-DSAI-2603,243,5,0,5,0,0,238,0,221,0,17,1009,355,5,155,3
IITREICT-DSAI-2605,1,0,0,0,0,0,1,0,1,0,0,113,0,0,1,0
IITREICT-PMAIHIN-2601,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
IITREICT-SE-2603,33,2,0,2,0,0,31,0,30,0,1,131,63,2,26,1
IITRPF-AAIH-2604,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0
IITRPF-AAIK-2604,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0
IITRPF-AAIT-2604,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
IITRPF-AAITN-2604,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0
IITRPRAI-2408,183,14,0,14,0,0,169,1,142,0,26,2774,1186,13,122,1
IITRPRAI-2409,107,7,0,7,0,0,100,0,87,0,13,1727,929,7,68,0
IITRPRAI-2411,126,8,0,8,0,0,118,1,101,0,16,2219,822,7,94,1
IITRPRAI-2501,83,7,0,7,0,0,76,2,72,0,2,1001,853,7,53,1
MITIDSS-ML-2603,1,0,0,0,0,0,1,0,1,0,0,30,30,0,1,0
PWC-CYB-2511,2,0,0,0,0,0,2,1,0,1,0,4,0,0,1,0
PWC-FT-2604,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
ROTMAN-DDM-2603,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
XLRI-EN-2509,2,0,0,0,0,0,2,0,2,0,0,32,31,0,1,0
